accessionnr	jaar
AAB19017	1993
AAB19018	1993
AAB19019	1993
AAB19020	1993
AAB19021	1993
AAB19022	1993
AAB19023	1995
AAB19024	1995
AAB19025	1995
AAB19026	1989
AAB19027	1993
AAB19028	1992
AAB19072	1994
AAB19073	1994
AAB19074	1994
AAB19075	1994
AAB19076	1994
AAB19077	1994
AAB19078	1994
AAB19079	1994
AAB19080	1994
AAB19081	1994
AAB19082	1994
AAB19083	1994
AAB19084	1994
AAB19085	1994
AAB19086	1994
AAB19087	1994
AAB19088	1994
AAB19089	1994
AAB27733	1991
AAB29091	1992
AAB33340	1979
AAB36976	1994
AAB36977	1990
AAB36978	1993
AAB36979	1992
AAB36980	1991
AAB39351	1990
AAB39352	1990
AAB39353	1986
AAB39639	1982
AAB39851	1976
AAB49654	1993
AAB49655	1993
AAB50963	1991
AAB50964	1981
AAB52904	1988
AAB52905	1930
AAB52906	1981
AAB52907	1985
AAB52908	1977
AAB52910	1976
AAB57740	1990
AAB58297	1989
AAB63681	1995
AAB63683	1995
AAB63684	1995
AAB63685	1995
AAB63687	1995
AAB63689	1995
AAB63690	1995
AAB63691	1995
AAB63694	1994
AAB63697	1995
AAB63698	1994
AAB63699	1994
AAB63700	1994
AAB63702	1995
AAB63703	1995
AAB63704	1994
AAB63707	1996
AAB63708	1996
AAB63712	1995
AAB63713	1994
AAB63714	1995
AAB63715	1995
AAB63716	1995
AAB63717	1995
AAB63718	1995
AAB63719	1995
AAB63720	1995
AAB63721	1994
AAB63722	1995
AAB63723	1995
AAB63724	1994
AAB63725	1994
AAB63726	1995
AAB63728	1994
AAB63732	1994
AAB63733	1995
AAB63734	1993
AAB63735	1993
AAB63736	1994
AAB63737	1994
AAB63738	1993
AAB63739	1993
AAB63740	1993
AAB63741	1993
AAB63742	1993
AAB63743	1993
AAB63744	1993
AAB63745	1993
AAB63746	1992
AAB63749	1992
AAB63750	1992
AAB63751	1992
AAB63752	1992
AAB63753	1992
AAB63754	1992
AAB63755	1993
AAB63756	1992
AAB63757	1993
AAB63758	1993
AAB63759	1993
AAB63760	1993
AAB63762	1994
AAB63763	1994
AAB63765	1993
AAB63766	1993
AAB63767	1993
AAB66724	1992
AAB66726	1991
AAB66727	1990
AAB66729	1989
AAB66730	1989
AAB66732	1989
AAB66733	1989
AAB66734	1989
AAB66735	1989
AAB66736	1989
AAB66737	1989
AAB66741	1994
AAB66742	1991
AAB66743	1991
AAB66746	1991
AAB66748	1991
AAB66749	1991
AAB66751	1989
AAB66752	1991
AAB66753	1990
AAB66754	1991
AAB66756	1993
AAB66757	1993
AAB66758	1992
AAB66759	1992
AAB66760	1992
AAB66765	1992
AAB66768	1993
AAB66769	1991
AAB66770	1991
AAB66771	1993
AAB66772	1996
AAB66773	1996
AAB66774	1996
AAB66775	1996
AAB66776	1996
AAB66777	1996
AAB66779	1996
AAB66780	1996
AAB66785	1996
AAB66788	1996
AAB66789	1995
AAB66790	1996
AAB66791	1996
AAB66792	1995
AAB66793	1996
AAB66794	1996
AAB66795	1995
