accessionnr	jaar
AAT64686	1977
AAT64687	1977
AAT64688	1977
AAT64689	1981
AAT64690	1982
AAT64691	1983
AAT64692	1974
AAT64693	1974
AAT64694	1999
AAT64695	1994
AAT64696	2000
AAT64697	2001
AAT64698	2001
AAT64699	2001
AAT64700	1982
AAT64701	1999
AAT64702	1974
AAT64703	1975
AAT64704	1989
AAT64705	2002
AAT64706	2002
AAT64707	2003
AAT64708	2003
AAT64709	2003
AAT64710	2003
AAT64711	2003
AAT64712	2003
AAT64713	1968
AAT64714	1968
AAT64715	1969
AAT64716	1972
AAT64717	1974
AAT64718	1975
AAT64719	1976
AAT64720	1977
AAT64721	1980
AAT64722	1980
AAT64723	1982
AAT64724	1985
AAT64725	1985
AAT64726	1985
AAT64727	1985
AAT64728	1986
AAT64729	1988
AAT64730	1988
AAT64731	1988
AAT64732	1989
AAT64733	1989
AAT64734	1989
AAT64735	1989
AAT64736	1989
AAT64737	1989
AAT64738	1989
AAT64739	1989
AAT64740	1989
AAT64741	1989
AAT64742	1989
AAT64743	1989
AAT64744	1990
AAT64745	1990
AAT64746	1989
AAT64747	1990
AAT64748	1990
AAT64749	1990
AAT64750	1991
AAT64751	1991
AAT64752	1991
AAT64753	1991
AAT64754	1991
AAT64755	1992
AAT64756	1991
AAT64757	1992
AAT64758	1992
AAT64759	1992
AAT64760	1992
AAT64761	1992
AAT64762	1992
AAT64763	1992
AAT64764	1992
AAT64765	1992
AAT64766	1992
AAT64767	1992
AAT64768	1992
AAT64769	1992
AAT64770	1992
AAT64771	1992
AAT64772	1992
AAT64773	1991
AAT64774	1991
AAT64775	1991
AAT64776	1991
AAT64777	1991
AAT64778	1991
AAT64779	1991
AAT64780	1991
AAT64781	1991
AAT64782	1991
AAT64783	1992
AAT64784	1992
AAT64785	1992
AAT64786	1992
AAT64787	1992
AAT64788	1992
AAT64789	1992
AAT64790	1992
AAT64791	1992
AAT64792	1992
AAT64793	1992
AAT64794	1991
AAT64795	1992
AAT64796	1992
AAT64797	1992
AAT64798	1992
AAT64799	1992
AAT64800	1992
AAT64801	1992
AAT64802	1992
AAT64803	1992
AAT64804	1992
AAT64805	1992
AAT64806	1993
AAT64807	1993
AAT64808	1993
AAT64809	1992
AAT64810	1992
AAT64811	1992
AAT64812	1992
AAT64813	1992
AAT64814	1993
AAT64815	1993
AAT64816	1993
AAT64817	1993
AAT64818	1993
AAT64819	1993
AAT64820	1993
AAT64821	1993
AAT64822	1993
AAT64823	1993
AAT64824	1993
AAT64825	1993
AAT64826	1993
AAT64827	1993
AAT64828	1993
AAT64829	1993
AAT64830	1993
AAT64831	1993
AAT64832	1993
AAT64833	1993
AAT64834	1993
AAT64835	1993
AAT64836	1993
AAT64837	1993
AAT64838	1993
AAT64839	1993
AAT64840	1993
AAT64841	1993
AAT64842	1993
AAT64843	1993
AAT64844	1993
AAT64845	1993
AAT64846	1993
AAT64847	1993
AAT64848	1993
AAT64849	1993
AAT64850	1994
AAT64851	1994
AAT64852	1994
AAT64853	1994
AAT64854	1994
AAT64855	1994
AAT64856	1995
AAT64857	1995
AAT64858	1995
AAT64859	1995
AAT64860	1995
AAT64861	1995
AAT64862	1995
AAT64863	1995
AAT64864	1995
AAT64865	1995
AAT64866	1995
AAT64867	1995
AAT64868	1996
AAT64869	1996
AAT64870	1996
AAT64871	1995
AAT64872	1996
AAT64873	1996
AAT64874	1996
AAT64875	1996
AAT64876	1997
AAT64877	1997
AAT64878	1997
AAT64879	1994
AAT64880	1997
AAT64881	1998
AAT64882	1998
AAT64883	1998
AAT64884	1998
AAT64885	1997
AAT64886	1993
AAT65209	2004
AAT65317	1983
AAT65318	1999
AAT65319	1997
AAT65320	2000
AAT65321	2000
AAT65322	2000
AAT65323	1991
AAT65324	1999
AAT65325	1996
AAT65326	1992
AAT65327	1998
AAT65328	1996
AAT65329	1998
AAT65330	1999
AAT65331	1998
AAT65332	1994
AAT65333	1998
AAT65334	1998
AAT65335	1998
AAT65336	1998
AAT65337	1988
AAT65338	1998
AAT65339	1991
AAT65340	1994
AAT65341	1985
AAT65342	1985
AAT65343	1994
AAT65344	1993
AAT65345	1997
AAT65346	1999
AAT65347	1999
AAT65348	1997
AAT65349	1999
AAT65350	1994
AAT65351	1997
AAT66415	2004
AAT69348	2004
AAT70170	2004
AAT70210	2004
AAT70218	2004
AAT72505	2003
AAT73260	2003
AAT73261	2003
AAT73262	2004
AAT73263	2003
AAT73264	2004
AAT73265	2004
AAT73266	2004
AAT73267	2004
AAT73268	2004
AAT73269	2004
AAT73270	2004
AAT73271	2004
AAT73272	2004
AAT73273	2004
AAT73274	2004
AAT73275	2004
AAT73276	2004
AAT73277	2004
AAT73278	2004
AAT73279	2004
AAT73280	2004
AAT73281	2004
AAT73282	2004
AAT73283	2004
AAT73284	2004
AAT73285	2002
AAT73286	2002
AAT73287	2002
AAT73288	2002
AAT73289	2002
AAT73290	2002
AAT73291	2002
AAT73292	2002
AAT73293	2003
AAT73294	2003
AAT73295	2003
AAT73296	2003
AAT73297	2003
AAT73298	2003
AAT73299	2002
AAT73300	2002
AAT73301	2002
AAT73302	2004
AAT73303	2003
AAT73304	2004
AAT73305	2004
AAT73306	2004
AAT73307	2003
AAT73308	2003
AAT73309	2003
AAT73310	2003
AAT73311	2004
AAT73312	2004
AAT73313	2003
AAT76166	2004
AAT78582	2004
AAT79527	2001
AAT79528	2001
AAT79529	2001
AAT81327	2002
AAT81328	2002
AAT81329	2002
AAT81330	2002
AAT81331	2002
AAT81332	2002
AAT81333	2002
AAT81334	2002
AAT81335	2002
AAT81336	2002
AAT81337	2002
AAT81338	2003
AAT81339	2003
AAT81340	2003
AAT81341	2002
AAT81342	2002
AAT81343	2002
AAT81344	2002
AAT81345	2002
AAT81346	2002
AAT81347	2002
AAT81348	2002
AAT81349	2003
AAT81350	2003
AAT81351	2003
AAT81352	2003
AAT81353	2003
AAT81354	2003
AAT81355	2003
AAT81356	2003
AAT81357	2003
AAT81358	2003
AAT81359	2003
AAT81360	2003
AAT81361	2003
AAT81362	2003
AAT84153	2004
AAT85679	2001
AAT90337	2004
AAT90832	2004
AAT93388	2001
AAU00107	2000
AAU00108	2001
AAU00109	2002
AAU00821	2002
AAU07825	2003
AAU07826	2003
AAU07827	2003
AAU07828	2003
AAU07829	2003
AAU07830	2003
AAU07831	2003
AAU08349	2004
AAU08351	2004
AAU09399	1992
AAU09400	1992
AAU11147	2003
AAU11148	2003
AAU11149	2003
AAU11150	2003
AAU11151	2003
AAU11152	2003
AAU11153	2003
AAU11154	2003
AAU11155	2003
AAU11156	2003
AAU11157	2003
AAU11158	2003
AAU11159	2003
AAU11160	2003
AAU11161	2003
AAU11162	2003
AAU11163	2003
AAU11164	2003
AAU11165	2003
AAU11522	2003
AAU25838	2004
AAU25851	2002
AAU25861	2001
AAU25871	2001
AAU25943	2004
AAU25949	2003
AAU33999	2004
AAU44367	2004
AAU50675	2004
AAU85295	2004
AAV30213	1998
AAV30828	2003
AAV30836	2001
AAV32636	2004
AAV34704	2004
AAV41002	2004
AAV41833	2004
AAV48546	2004
AAV48778	2004
AAV48780	2004
AAV52598	2000
AAV52599	2000
AAV52600	2000
AAV52601	2000
AAV52602	2000
AAV52603	2000
AAV52604	2000
AAV52605	2001
AAV65826	2004
AAV68014	2004
AAV68022	2004
AAV68030	2003
AAV68031	2004
AAV68032	2004
AAV73972	2004
AAV73975	2004
AAV73980	2004
AAV74187	1978
AAV74400	2004
AAV80797	2003
AAV80798	2003
AAV91149	2004
AAV91212	2000
AAV91213	1999
AAV91214	1999
AAV91215	1999
AAV91216	1999
AAV91217	1999
AAV91218	1999
AAV91219	1999
AAV91220	1999
AAV91221	1999
AAV97601	2002
AAV97602	2003
AAV97603	2003
AAV97604	2003
AAV97886	2004
AAV98693	2004
AAV98694	2004
AAV98695	2004
AAW19638	2004
AAW19640	2004
AAW19642	2004
AAW19644	2004
AAW19646	2004
AAW22156	2000
AAW24444	2003
AAW24445	2003
AAW24446	2003
AAW24447	2003
AAW24448	2003
AAW24449	2003
AAW24450	2003
AAW24451	2003
AAW29075	2000
AAW29076	2002
AAW29077	2004
AAW29078	2001
AAW29079	2003
AAW29080	2003
AAW30657	2004
AAW34374	2003
AAW34375	2003
AAW34376	2003
AAW34377	2003
AAW34378	2004
AAW50825	2000
AAW50826	2000
AAW50827	2000
AAW50828	2000
AAW50829	2001
AAW50830	2001
AAW50831	2001
AAW50832	2001
AAW50833	2001
AAW50834	2001
AAW50835	2001
AAW50836	2002
AAW50837	2002
AAW50838	2004
AAW50839	2004
AAW50840	2004
AAW50841	2004
AAW56635	2000
AAW59390	2004
AAW59398	2004
AAW59408	2004
AAW59548	2004
AAW59550	2004
AAW59552	2004
AAW59554	2004
AAW59556	2004
AAW59558	2004
AAW59559	2004
AAW65986	2003
AAW65987	2004
AAW65988	2004
AAW65989	2004
AAW65990	2004
AAW66002	2004
AAW72226	2004
AAW78038	2003
AAW78039	2003
AAW78040	2003
AAW78041	2003
AAW78042	2003
AAW78043	2003
AAW78044	2003
AAW78045	2003
AAW78046	2003
AAW78047	2003
AAW78048	2003
AAW78049	2003
AAW78050	2003
AAW78051	2003
AAW78052	2003
AAW78053	2003
AAW80717	2004
AAW80718	2004
AAW80719	2004
AAX07773	2000
AAX11455	2003
AAX11465	2003
AAX11475	2003
AAX11485	2003
AAX11495	2003
AAX11505	2003
AAX11515	2003
AAX11525	2003
AAX11535	2003
AAX11545	2003
AAX11555	2003
AAX11565	2003
AAX11575	2003
AAX11585	2003
AAX11595	2003
AAX11605	2003
AAX11615	2003
AAX11625	2001
AAX11635	2002
AAX12731	2003
AAX12741	2003
AAX12751	2003
AAX12761	2001
AAX12771	2002
AAX12781	2002
AAX12791	2002
AAX12801	2002
AAX12811	2002
AAX14851	2001
AAX23575	2002
AAX32895	2004
AAX32896	2004
AAX34061	2003
AAX35821	2004
AAX35831	2003
AAX35841	2002
AAX35851	2002
AAX35861	2001
AAX35871	2002
AAX38237	2001
AAX47288	2004
AAX47515	2002
AAX47525	2002
AAX47535	2002
AAX47732	2004
AAX47733	2004
AAX47734	2004
AAX47735	2004
AAX47736	2004
AAX47737	2004
AAX47738	2004
AAX47739	2004
AAX47740	2004
AAX47741	2004
AAX47742	2004
AAX47743	2004
AAX47744	2004
AAX47745	2004
AAX47746	2004
AAX47747	2004
AAX47748	2004
AAX47749	2004
AAX47750	2004
AAX47751	2004
AAX47752	2004
AAX47753	2004
AAX47754	2004
AAX47755	2004
AAX47756	2004
AAX47757	2004
AAX49559	2004
AAX49562	2002
AAX51299	2002
AAX53504	2004
AAX53505	2004
AAX53506	2004
AAX53507	2004
AAX53508	2004
AAX53509	2004
AAX53510	2004
AAX56380	2003
AAX56390	2003
AAX56400	2003
AAX56410	2004
AAX56420	2004
AAX56430	2003
AAX56440	2001
AAX56450	2002
AAX56460	2002
AAX56470	2002
AAX56480	2002
AAX56490	2001
AAX56500	2002
AAX56510	2002
AAX56520	2002
AAX56530	2000
AAX56540	1999
AAX56550	2000
AAX56560	2003
AAX56570	2001
AAX56580	2002
AAX56590	2002
AAX56600	2003
AAX57644	2003
AAX57654	2003
AAX57664	2002
AAX57674	2002
AAX57684	2002
AAX57694	2002
AAX57704	2004
AAX57714	2001
AAX57733	2001
AAX57734	2002
AAX57744	1999
AAX57754	1999
AAX57764	2000
AAX57774	1999
AAX57784	2002
AAX57794	1999
AAX57804	1999
AAX57814	1999
AAX57824	2000
AAX57834	2000
AAX57844	1999
AAX57854	1999
AAX57864	2000
AAX57874	2000
AAX57884	2000
AAX57894	2000
AAX57904	1999
AAX57914	1999
AAX57924	2000
AAX57934	1999
AAX57944	2003
AAX59694	2004
AAX63815	1999
AAX63816	2003
AAX63817	2003
AAX63818	2003
AAX63819	2003
AAX63820	2003
AAX63821	2004
AAX63822	2004
AAX63823	2004
AAX63824	2004
AAX63825	2004
AAX63826	1999
AAX63827	1999
AAX63828	2003
AAX76623	2004
AAX76633	2003
AAX76643	2003
AAX76653	2003
AAX76663	2002
AAX76673	1999
AAX76683	2000
AAX76693	1999
AAX76703	2000
AAX76713	2000
AAX76723	1999
AAX76733	2003
AAX76743	2003
AAX76753	2003
AAX76763	2004
AAX77666	2002
AAX77667	2002
AAX77668	2002
AAX77669	2002
AAX77670	2002
AAX77671	2002
AAX77672	2002
AAX77673	2002
AAX77674	2002
AAX78820	1963
AAX83395	2004
AAX83396	2004
AAX83397	2004
AAX83398	2004
AAX84524	2004
AAX84525	2004
AAX84526	2004
AAX84527	2004
AAX84528	2004
AAX84529	2003
AAX84530	2003
AAX84531	2003
AAX84532	2004
AAX84533	2004
AAX84534	2004
AAX84535	2004
AAX84536	2004
AAX84537	2004
AAX84538	2004
AAX84539	2004
AAX84540	2004
AAX84541	2004
AAX84542	2004
AAX84543	2004
AAX84544	2004
AAX84545	2004
AAX84546	2004
AAX84547	2004
AAX84548	2003
AAY18086	2003
AAY18096	2003
AAY18106	2002
AAY18116	2002
AAY18126	2003
AAY18136	2003
AAY18146	2003
AAY18156	2000
AAY18166	1999
AAY18176	2000
AAY18186	1999
AAY18196	2003
AAY18564	2003
AAY18585	2002
AAY18611	2003
AAY20940	1997
AAY21163	2001
AAY21164	1972
AAY23639	2003
AAY23640	2003
AAY23641	2003
AAY23642	2003
AAY25498	2003
AAY25499	2003
AAY27843	2003
AAY27853	2003
AAY27863	2003
AAY27959	2002
AAY27994	2003
AAY28004	2003
AAY28014	2002
AAY28265	2003
AAY28275	1999
AAY28285	2002
AAY28295	2003
AAY28305	2002
AAY28315	2003
AAY28325	2002
AAY28335	2001
AAY28345	2003
AAY28355	1999
AAY28363	2000
AAY28375	2000
AAY28385	2004
AAY28395	2003
AAY28405	2002
AAY28486	2003
AAY28521	2003
AAY28531	2003
AAY28541	2004
AAY28551	2000
AAY28561	2003
AAY28571	2003
AAY28581	2002
AAY28591	1999
AAY28608	2000
AAY28618	2003
AAY28628	2002
AAY28638	2002
AAY28648	2002
AAY28987	2005
AAY42043	1999
AAY42044	1999
AAY42045	1999
AAY42046	1999
AAY42047	1999
AAY42048	1999
AAY42049	2000
AAY42050	2000
AAY42051	2000
AAY42052	2001
AAY42053	2001
AAY42054	2001
AAY42055	2001
AAY42056	2001
AAY42057	2001
AAY42058	2001
AAY42059	2001
AAY42060	2001
AAY42061	2001
AAY42062	2001
AAY42063	2002
AAY42064	2002
AAY42065	2002
AAY42066	2002
AAY42067	2002
AAY42114	2000
AAY42115	2000
AAY42116	2000
AAY42117	2001
AAY42118	2000
AAY42119	2001
AAY42120	2001
AAY42121	2001
AAY42122	2002
AAY44610	2003
AAY44620	2002
AAY44621	2002
AAY44631	2002
AAY44641	2002
AAY44651	2000
AAY44661	2003
AAY44755	1999
AAY44765	2003
AAY44775	2000
AAY44785	1999
AAY44795	1999
AAY44796	2003
AAY44896	2002
AAY44906	2003
AAY46201	2001
AAY46202	2000
AAY46207	2002
AAY46208	2002
AAY46209	2002
AAY46210	2002
AAY46211	2002
AAY46212	2002
AAY46213	2002
AAY46214	2002
AAY46215	2002
AAY46216	2002
AAY46217	2002
AAY46218	2002
AAY46219	2002
AAY46220	2002
AAY46221	2002
AAY46328	2004
AAY46329	2004
AAY46330	2004
AAY46331	2004
AAY46332	2004
AAY46333	2004
AAY46334	2004
AAY46335	2004
AAY46336	2004
AAY46337	2004
AAY46338	2004
AAY46339	2004
AAY46340	2004
AAY46341	2004
AAY46342	2004
AAY46343	2004
AAY46344	2004
AAY46345	2004
AAY46346	2004
AAY46347	2004
AAY46348	2004
AAY46349	2004
AAY46350	2004
AAY46351	2004
AAY46352	2004
AAY46353	2004
AAY46354	2004
AAY46355	2004
AAY46356	2004
AAY46357	2004
AAY46358	2004
AAY46359	2004
AAY46360	2004
AAY46361	2004
AAY46362	2004
AAY46363	2004
AAY46364	2004
AAY46365	2004
AAY46366	2004
AAY46371	1999
AAY46381	2003
AAY46391	1999
AAY46416	1998
AAY46426	1998
AAY46436	1998
AAY47013	2002
AAY47023	2002
AAY47052	1999
AAY47075	2003
AAY47085	2003
AAY52492	1998
AAY52493	2000
AAY52494	2000
AAY52495	2002
AAY52496	2000
AAY52497	2001
AAY52498	1997
AAY52499	2001
AAY52500	1997
AAY52501	1999
AAY52502	1999
AAY52503	2000
AAY52504	2000
AAY52505	2001
AAY52506	2000
AAY52507	2002
AAY52508	1998
AAY52509	2001
AAY52510	2000
AAY52511	1997
AAY52512	1997
AAY52513	1999
AAY52514	1996
AAY52515	1996
AAY52516	2001
AAY52517	1998
AAY52518	1997
AAY52519	1966
AAY56367	2002
AAY56898	2001
AAY57183	2002
AAY57184	2002
AAY57185	2002
AAY57186	2002
AAY57187	2002
AAY57188	2002
AAY57189	2002
AAY57190	2002
AAY57191	2002
AAY57192	2002
AAY57193	2002
AAY57194	2002
AAY57195	2002
AAY57196	2002
AAY57197	2002
AAY57198	2002
AAY58320	2003
AAY59035	1999
AAY64192	1998
AAY64202	2003
AAY64212	2000
AAY64222	2003
AAY64232	1998
AAY64242	1999
AAY64252	1999
AAY64262	1999
AAY64272	2003
AAY64282	1999
AAY64292	2003
AAY64302	1999
AAY64312	2003
AAY64322	1998
AAY64332	2003
AAY64342	1999
AAY64352	2003
AAY64362	2003
AAY64372	1999
AAY64382	1999
AAY64392	2003
AAY64402	1998
AAY68363	2004
AAY78939	2002
AAY78953	2004
AAY85533	2002
AAY85891	2003
AAY85892	2003
AAY85893	2004
AAY85894	2004
