accessionnr	uit
AAT51809	Human
AAT51810	Human
AAT51811	Human
AAT51812	Human
AAT51813	Human
AAT51814	Human
AAT51815	Human
AAT51816	Human
AAT51817	Human
AAT51818	Human
AAT51819	Human
AAT51820	Human
AAT51821	Human
AAT51822	Human
AAT51823	Human
AAT51824	Human
AAT51825	Human
AAT51826	Human
AAT51827	Human
AAT51828	Human
AAT51829	Human
AAT51830	Human
AAT51831	Human
AAT51832	Human
AAT51833	Human
AAT51834	Human
AAT51835	Human
AAT51836	Human
AAT51837	Human
AAT51838	Human
AAT51839	Human
AAT51840	Human
AAT51841	Human
AAT51842	Human
AAT51843	Human
AAT51844	Human
AAT51845	Human
AAT51846	Human
AAT51847	Human
AAT51848	Human
AAT51849	Human
AAT51850	Human
AAT51851	Human
AAT51852	Human
AAT51853	Human
AAT51854	Human
AAT51855	Human
AAT51856	Human
AAT51857	Human
AAT51858	Human
AAT51859	Human
AAT64666	Human
AAT64667	Human
AAT64668	Human
AAT64669	Human
AAT64670	Human
AAT64671	Human
AAT64672	Human
AAT64673	Human
AAT64674	Human
AAT64675	Human
AAT64676	Human
AAT64677	Human
AAT64678	Human
AAT64679	Human
AAT64680	Human
AAT64681	Human
AAT64682	Human
AAT64683	Human
AAT64684	Human
AAT64685	Human
AAT64686	Human
AAT64687	Human
AAT64688	Human
AAT64689	Human
AAT64690	Human
AAT64691	Human
AAT64692	Human
AAT64693	Human
AAT64694	Human
AAT64695	Human
AAT64696	Human
AAT64697	Human
AAT64698	Human
AAT64699	Human
AAT64700	Human
AAT64701	Human
AAT64702	Human
AAT64703	Human
AAT64704	Human
AAT64705	Human
AAT64706	Human
AAT64707	Human
AAT64708	Human
AAT64709	Human
AAT64710	Human
AAT64711	Human
AAT64712	Human
AAT64713	Human
AAT64714	Human
AAT64715	Human
AAT64716	Human
AAT64717	Human
AAT64718	Human
AAT64719	Human
AAT64720	Human
AAT64721	Human
AAT64722	Human
AAT64723	Human
AAT64724	Human
AAT64725	Human
AAT64726	Human
AAT64727	Human
AAT64728	Human
AAT64729	Human
AAT64730	Human
AAT64731	Human
AAT64732	Human
AAT64733	Human
AAT64734	Human
AAT64735	Human
AAT64736	Human
AAT64737	Human
AAT64738	Human
AAT64739	Human
AAT64740	Human
AAT64741	Human
AAT64742	Human
AAT64743	Human
AAT64744	Human
AAT64745	Human
AAT64746	Human
AAT64747	Human
AAT64748	Human
AAT64749	Human
AAT64750	Human
AAT64751	Human
AAT64752	Human
AAT64753	Human
AAT64754	Human
AAT64755	Human
AAT64756	Human
AAT64757	Human
AAT64758	Human
AAT64759	Human
AAT64760	Human
AAT64761	Human
AAT64762	Human
AAT64763	Human
AAT64764	Human
AAT64765	Human
AAT64766	Human
AAT64767	Human
AAT64768	Human
AAT64769	Human
AAT64770	Human
AAT64771	Human
AAT64772	Human
AAT64773	Human
AAT64774	Human
AAT64775	Human
AAT64776	Human
AAT64777	Human
AAT64778	Human
AAT64779	Human
AAT64780	Human
AAT64781	Human
AAT64782	Human
AAT64783	Human
AAT64784	Human
AAT64785	Human
AAT64786	Human
AAT64787	Human
AAT64788	Human
AAT64789	Human
AAT64790	Human
AAT64791	Human
AAT64792	Human
AAT64793	Human
AAT64794	Human
AAT64795	Human
AAT64796	Human
AAT64797	Human
AAT64798	Human
AAT64799	Human
AAT64800	Human
AAT64801	Human
AAT64802	Human
AAT64803	Human
AAT64804	Human
AAT64805	Human
AAT64806	Human
AAT64807	Human
AAT64808	Human
AAT64809	Human
AAT64810	Human
AAT64811	Human
AAT64812	Human
AAT64813	Human
AAT64814	Human
AAT64815	Human
AAT64816	Human
AAT64817	Human
AAT64818	Human
AAT64819	Human
AAT64820	Human
AAT64821	Human
AAT64822	Human
AAT64823	Human
AAT64824	Human
AAT64825	Human
AAT64826	Human
AAT64827	Human
AAT64828	Human
AAT64829	Human
AAT64830	Human
AAT64831	Human
AAT64832	Human
AAT64833	Human
AAT64834	Human
AAT64835	Human
AAT64836	Human
AAT64837	Human
AAT64838	Human
AAT64839	Human
AAT64840	Human
AAT64841	Human
AAT64842	Human
AAT64843	Human
AAT64844	Human
AAT64845	Human
AAT64846	Human
AAT64847	Human
AAT64848	Human
AAT64849	Human
AAT64850	Human
AAT64851	Human
AAT64852	Human
AAT64853	Human
AAT64854	Human
AAT64855	Human
AAT64856	Human
AAT64857	Human
AAT64858	Human
AAT64859	Human
AAT64860	Human
AAT64861	Human
AAT64862	Human
AAT64863	Human
AAT64864	Human
AAT64865	Human
AAT64866	Human
AAT64867	Human
AAT64868	Human
AAT64869	Human
AAT64870	Human
AAT64871	Human
AAT64872	Human
AAT64873	Human
AAT64874	Human
AAT64875	Human
AAT64876	Human
AAT64877	Human
AAT64878	Human
AAT64879	Human
AAT64880	Human
AAT64881	Human
AAT64882	Human
AAT64883	Human
AAT64884	Human
AAT64885	Human
AAT64886	Human
AAT65209	Avian
AAT65317	Avian
AAT65318	Avian
AAT65319	Avian
AAT65320	Avian
AAT65321	Avian
AAT65322	Avian
AAT65323	Avian
AAT65324	Avian
AAT65325	Avian
AAT65326	Avian
AAT65327	Avian
AAT65328	Avian
AAT65329	Avian
AAT65330	Avian
AAT65331	Avian
AAT65332	Avian
AAT65333	Avian
AAT65334	Avian
AAT65335	Avian
AAT65336	Avian
AAT65337	Avian
AAT65338	Avian
AAT65339	Avian
AAT65340	Avian
AAT65341	Avian
AAT65342	Avian
AAT65343	Avian
AAT65344	Avian
AAT65345	Avian
AAT65346	Avian
AAT65347	Avian
AAT65348	Avian
AAT65349	Avian
AAT65350	Avian
AAT65351	Avian
AAT66415	Avian
AAT69348	Avian
AAT70170	Avian
AAT70210	Tiger
AAT70218	Leopard
AAT72505	Swine
AAT73260	Avian
AAT73261	Avian
AAT73262	Avian
AAT73263	Avian
AAT73264	Avian
AAT73265	Avian
AAT73266	Avian
AAT73267	Avian
AAT73268	Avian
AAT73269	Avian
AAT73270	Avian
AAT73271	Avian
AAT73272	Avian
AAT73273	Human
AAT73274	Human
AAT73275	Human
AAT73276	Human
AAT73277	Avian
AAT73278	Avian
AAT73279	Avian
AAT73280	Avian
AAT73281	Avian
AAT73282	Avian
AAT73283	Avian
AAT73284	Avian
AAT73285	Avian
AAT73286	Avian
AAT73287	Avian
AAT73288	Avian
AAT73289	Avian
AAT73290	Avian
AAT73291	Avian
AAT73292	Avian
AAT73293	Avian
AAT73294	Avian
AAT73295	Avian
AAT73296	Avian
AAT73297	Avian
AAT73298	Avian
AAT73299	Avian
AAT73300	Avian
AAT73301	Avian
AAT73302	Avian
AAT73303	Avian
AAT73304	Avian
AAT73305	Avian
AAT73306	Avian
AAT73307	Avian
AAT73308	Avian
AAT73309	Avian
AAT73310	Avian
AAT73311	Avian
AAT73312	Avian
AAT73313	Avian
AAT76166	Avian
AAT78582	Avian
AAT79527	Human
AAT79528	Human
AAT79529	Human
AAT81327	Human
AAT81328	Human
AAT81329	Human
AAT81330	Human
AAT81331	Human
AAT81332	Human
AAT81333	Human
AAT81334	Human
AAT81335	Human
AAT81336	Human
AAT81337	Human
AAT81338	Human
AAT81339	Human
AAT81340	Human
AAT81341	Human
AAT81342	Human
AAT81343	Human
AAT81344	Human
AAT81345	Human
AAT81346	Human
AAT81347	Human
AAT81348	Human
AAT81349	Human
AAT81350	Human
AAT81351	Human
AAT81352	Human
AAT81353	Human
AAT81354	Human
AAT81355	Human
AAT81356	Human
AAT81357	Human
AAT81358	Human
AAT81359	Human
AAT81360	Human
AAT81361	Human
AAT81362	Human
AAT84153	Human
AAT85679	Human
AAT90337	Avian
AAT90832	Avian
AAT93388	Human
AAU00107	Avian
AAU00108	Avian
AAU00109	Avian
AAU00821	Avian
AAU07825	Human
AAU07826	Human
AAU07827	Human
AAU07828	Human
AAU07829	Human
AAU07830	Human
AAU07831	Human
AAU08349	Avian
AAU08351	Avian
AAU09399	Swine
AAU09400	Swine
AAU11147	Avian
AAU11148	Avian
AAU11149	Avian
AAU11150	Avian
AAU11151	Avian
AAU11152	Avian
AAU11153	Avian
AAU11154	Avian
AAU11155	Avian
AAU11156	Avian
AAU11157	Avian
AAU11158	Avian
AAU11159	Avian
AAU11160	Avian
AAU11161	Avian
AAU11162	Avian
AAU11163	Avian
AAU11164	Avian
AAU11165	Avian
AAU11522	Human
AAU25838	Avian
AAU25851	Swine
AAU25861	Swine
AAU25871	Swine
AAU25943	Avian
AAU25949	Human
AAU33999	Avian
AAU44367	Avian
AAU50675	Avian
AAU85295	Avian
AAV30213	Avian
AAV30828	Swine
AAV30836	Swine
AAV32636	Human
AAV34704	Human
AAV41002	Avian
AAV41833	Avian
AAV48546	Avian
AAV48778	Avian
AAV48780	Avian
AAV52598	Avian
AAV52599	Avian
AAV52600	Avian
AAV52601	Avian
AAV52602	Avian
AAV52603	Avian
AAV52604	Avian
AAV52605	Avian
AAV65826	Avian
AAV68014	Swine
AAV68022	Swine
AAV68030	Avian
AAV68031	Avian
AAV68032	Avian
AAV73972	Avian
AAV73975	Avian
AAV73980	Human
AAV74187	Avian
AAV74400	Human
AAV80797	Avian
AAV80798	Avian
AAV91149	Avian
AAV91212	Avian
AAV91213	Avian
AAV91214	Avian
AAV91215	Avian
AAV91216	Avian
AAV91217	Avian
AAV91218	Avian
AAV91219	Avian
AAV91220	Avian
AAV91221	Avian
AAV97601	Avian
AAV97602	Avian
AAV97603	Avian
AAV97604	Avian
AAV97886	Tiger
AAV98693	Avian
AAV98694	Avian
AAV98695	Avian
AAW19638	Avian
AAW19640	Avian
AAW19642	Avian
AAW19644	Avian
AAW19646	Avian
AAW22156	Swine
AAW24444	Human
AAW24445	Human
AAW24446	Human
AAW24447	Human
AAW24448	Human
AAW24449	Human
AAW24450	Human
AAW24451	Human
AAW29075	Avian
AAW29076	Avian
AAW29077	Avian
AAW29078	Avian
AAW29079	Avian
AAW29080	Avian
AAW30657	Tiger
AAW34374	Swine
AAW34375	Swine
AAW34376	Swine
AAW34377	Swine
AAW34378	Swine
AAW50825	Avian
AAW50826	Avian
AAW50827	Human
AAW50828	Human
AAW50829	Human
AAW50830	Human
AAW50831	Human
AAW50832	Human
AAW50833	Human
AAW50834	Human
AAW50835	Human
AAW50836	Human
AAW50837	Human
AAW50838	Human
AAW50839	Human
AAW50840	Human
AAW50841	Human
AAW56635	Swine
AAW59390	Avian
AAW59398	Avian
AAW59408	Avian
AAW59548	Avian
AAW59550	Avian
AAW59552	Avian
AAW59554	Avian
AAW59556	Avian
AAW59558	Avian
AAW59559	Avian
AAW65986	Human
AAW65987	Human
AAW65988	Human
AAW65989	Human
AAW65990	Human
AAW66002	Tiger
AAW72226	Avian
AAW78038	Avian
AAW78039	Avian
AAW78040	Avian
AAW78041	Avian
AAW78042	Avian
AAW78043	Avian
AAW78044	Avian
AAW78045	Avian
AAW78046	Avian
AAW78047	Avian
AAW78048	Avian
AAW78049	Avian
AAW78050	Avian
AAW78051	Avian
AAW78052	Avian
AAW78053	Avian
AAW80717	Human
AAW80718	Avian
AAW80719	Avian
AAX07773	Avian
AAX11455	Human
AAX11465	Human
AAX11475	Human
AAX11485	Human
AAX11495	Human
AAX11505	Human
AAX11515	Human
AAX11525	Human
AAX11535	Human
AAX11545	Human
AAX11555	Human
AAX11565	Human
AAX11575	Human
AAX11585	Human
AAX11595	Human
AAX11605	Human
AAX11615	Human
AAX11625	Human
AAX11635	Human
AAX12731	Human
AAX12741	Human
AAX12751	Human
AAX12761	Human
AAX12771	Human
AAX12781	Human
AAX12791	Human
AAX12801	Human
AAX12811	Human
AAX14851	Equine
AAX23575	Equine
AAX32895	Avian
AAX32896	Avian
AAX34061	Human
AAX35821	Human
AAX35831	Human
AAX35841	Human
AAX35851	Human
AAX35861	Human
AAX35871	Human
AAX38237	Human
AAX47288	Avian
AAX47515	Human
AAX47525	Human
AAX47535	Human
AAX47732	Human
AAX47733	Human
AAX47734	Human
AAX47735	Human
AAX47736	Human
AAX47737	Human
AAX47738	Human
AAX47739	Human
AAX47740	Human
AAX47741	Human
AAX47742	Human
AAX47743	Human
AAX47744	Human
AAX47745	Human
AAX47746	Human
AAX47747	Human
AAX47748	Human
AAX47749	Human
AAX47750	Human
AAX47751	Human
AAX47752	Human
AAX47753	Human
AAX47754	Human
AAX47755	Human
AAX47756	Human
AAX47757	Human
AAX49559	Human
AAX49562	Human
AAX51299	Avian
AAX53504	Avian
AAX53505	Avian
AAX53506	Avian
AAX53507	Avian
AAX53508	Avian
AAX53509	Avian
AAX53510	Avian
AAX56380	Human
AAX56390	Human
AAX56400	Human
AAX56410	Human
AAX56420	Human
AAX56430	Human
AAX56440	Human
AAX56450	Human
AAX56460	Human
AAX56470	Human
AAX56480	Human
AAX56490	Human
AAX56500	Human
AAX56510	Human
AAX56520	Human
AAX56530	Human
AAX56540	Human
AAX56550	Human
AAX56560	Human
AAX56570	Human
AAX56580	Human
AAX56590	Human
AAX56600	Human
AAX57644	Human
AAX57654	Human
AAX57664	Human
AAX57674	Human
AAX57684	Human
AAX57694	Human
AAX57704	Human
AAX57714	Human
AAX57733	Human
AAX57734	Human
AAX57744	Human
AAX57754	Human
AAX57764	Human
AAX57774	Human
AAX57784	Human
AAX57794	Human
AAX57804	Human
AAX57814	Human
AAX57824	Human
AAX57834	Human
AAX57844	Human
AAX57854	Human
AAX57864	Human
AAX57874	Human
AAX57884	Human
AAX57894	Human
AAX57904	Human
AAX57914	Human
AAX57924	Human
AAX57934	Human
AAX57944	Human
AAX59694	Avian
AAX63815	Human
AAX63816	Human
AAX63817	Human
AAX63818	Human
AAX63819	Human
AAX63820	Human
AAX63821	Human
AAX63822	Human
AAX63823	Human
AAX63824	Human
AAX63825	Human
AAX63826	Human
AAX63827	Human
AAX63828	Human
AAX76623	Human
AAX76633	Human
AAX76643	Human
AAX76653	Human
AAX76663	Human
AAX76673	Human
AAX76683	Human
AAX76693	Human
AAX76703	Human
AAX76713	Human
AAX76723	Human
AAX76733	Human
AAX76743	Human
AAX76753	Human
AAX76763	Human
AAX77666	Human
AAX77667	Human
AAX77668	Human
AAX77669	Human
AAX77670	Human
AAX77671	Human
AAX77672	Human
AAX77673	Human
AAX77674	Human
AAX78820	Avian
AAX83395	Tiger
AAX83396	Tiger
AAX83397	Tiger
AAX83398	Tiger
AAX84524	Human
AAX84525	Human
AAX84526	Human
AAX84527	Human
AAX84528	Human
AAX84529	Human
AAX84530	Human
AAX84531	Human
AAX84532	Human
AAX84533	Human
AAX84534	Human
AAX84535	Human
AAX84536	Human
AAX84537	Human
AAX84538	Human
AAX84539	Human
AAX84540	Human
AAX84541	Human
AAX84542	Human
AAX84543	Human
AAX84544	Human
AAX84545	Human
AAX84546	Human
AAX84547	Human
AAX84548	Human
AAY18086	Human
AAY18096	Human
AAY18106	Human
AAY18116	Human
AAY18126	Human
AAY18136	Human
AAY18146	Human
AAY18156	Human
AAY18166	Human
AAY18176	Human
AAY18186	Human
AAY18196	Human
AAY18564	Human
AAY18585	Human
AAY18611	Human
AAY20940	Avian
AAY21163	Avian
AAY21164	Avian
AAY23639	Avian
AAY23640	Avian
AAY23641	Avian
AAY23642	Avian
AAY25498	Avian
AAY25499	Avian
AAY27843	Human
AAY27853	Human
AAY27863	Human
AAY27959	Human
AAY27994	Human
AAY28004	Human
AAY28014	Human
AAY28265	Human
AAY28275	Human
AAY28285	Human
AAY28295	Human
AAY28305	Human
AAY28315	Human
AAY28325	Human
AAY28335	Human
AAY28345	Human
AAY28355	Human
AAY28363	Human
AAY28375	Human
AAY28385	Human
AAY28395	Human
AAY28405	Human
AAY28486	Human
AAY28521	Human
AAY28531	Human
AAY28541	Human
AAY28551	Human
AAY28561	Human
AAY28571	Human
AAY28581	Human
AAY28591	Human
AAY28608	Human
AAY28618	Human
AAY28628	Human
AAY28638	Human
AAY28648	Human
AAY28987	Human
AAY42043	Human
AAY42044	Human
AAY42045	Human
AAY42046	Human
AAY42047	Human
AAY42048	Human
AAY42049	Human
AAY42050	Human
AAY42051	Human
AAY42052	Human
AAY42053	Human
AAY42054	Human
AAY42055	Human
AAY42056	Human
AAY42057	Human
AAY42058	Human
AAY42059	Human
AAY42060	Human
AAY42061	Human
AAY42062	Human
AAY42063	Human
AAY42064	Human
AAY42065	Human
AAY42066	Human
AAY42067	Human
AAY42114	Human
AAY42115	Human
AAY42116	Human
AAY42117	Human
AAY42118	Human
AAY42119	Human
AAY42120	Human
AAY42121	Human
AAY42122	Human
AAY44610	Human
AAY44620	Human
AAY44621	Human
AAY44631	Human
AAY44641	Human
AAY44651	Human
AAY44661	Human
AAY44755	Human
AAY44765	Human
AAY44775	Human
AAY44785	Human
AAY44795	Human
AAY44796	Human
AAY44896	Human
AAY44906	Human
AAY46201	Swine
AAY46202	Swine
AAY46207	Avian
AAY46208	Avian
AAY46209	Avian
AAY46210	Avian
AAY46211	Avian
AAY46212	Avian
AAY46213	Avian
AAY46214	Avian
AAY46215	Avian
AAY46216	Avian
AAY46217	Avian
AAY46218	Avian
AAY46219	Avian
AAY46220	Avian
AAY46221	Avian
AAY46328	Avian
AAY46329	Avian
AAY46330	Avian
AAY46331	Avian
AAY46332	Avian
AAY46333	Avian
AAY46334	Avian
AAY46335	Avian
AAY46336	Avian
AAY46337	Avian
AAY46338	Avian
AAY46339	Avian
AAY46340	Avian
AAY46341	Avian
AAY46342	Avian
AAY46343	Avian
AAY46344	Avian
AAY46345	Avian
AAY46346	Avian
AAY46347	Avian
AAY46348	Avian
AAY46349	Avian
AAY46350	Avian
AAY46351	Avian
AAY46352	Avian
AAY46353	Avian
AAY46354	Avian
AAY46355	Avian
AAY46356	Avian
AAY46357	Avian
AAY46358	Avian
AAY46359	Avian
AAY46360	Avian
AAY46361	Avian
AAY46362	Avian
AAY46363	Avian
AAY46364	Avian
AAY46365	Avian
AAY46366	Avian
AAY46371	Human
AAY46381	Human
AAY46391	Human
AAY46416	Human
AAY46426	Human
AAY46436	Human
AAY47013	Human
AAY47023	Human
AAY47052	Human
AAY47075	Human
AAY47085	Human
AAY52492	Avian
AAY52493	Avian
AAY52494	Avian
AAY52495	Avian
AAY52496	Avian
AAY52497	Avian
AAY52498	Avian
AAY52499	Avian
AAY52500	Avian
AAY52501	Avian
AAY52502	Avian
AAY52503	Avian
AAY52504	Avian
AAY52505	Avian
AAY52506	Avian
AAY52507	Avian
AAY52508	Avian
AAY52509	Avian
AAY52510	Avian
AAY52511	Avian
AAY52512	Avian
AAY52513	Avian
AAY52514	Avian
AAY52515	Avian
AAY52516	Avian
AAY52517	Avian
AAY52518	Avian
AAY52519	Avian
AAY56367	Avian
AAY56898	Swine
AAY57183	Avian
AAY57184	Avian
AAY57185	Avian
AAY57186	Avian
AAY57187	Avian
AAY57188	Avian
AAY57189	Avian
AAY57190	Avian
AAY57191	Avian
AAY57192	Avian
AAY57193	Avian
AAY57194	Avian
AAY57195	Avian
AAY57196	Avian
AAY57197	Avian
AAY57198	Avian
AAY58320	Human
AAY59035	Human
AAY64192	Human
AAY64202	Human
AAY64212	Human
AAY64222	Human
AAY64232	Human
AAY64242	Human
AAY64252	Human
AAY64262	Human
AAY64272	Human
AAY64282	Human
AAY64292	Human
AAY64302	Human
AAY64312	Human
AAY64322	Human
AAY64332	Human
AAY64342	Human
AAY64352	Human
AAY64362	Human
AAY64372	Human
AAY64382	Human
AAY64392	Human
AAY64402	Human
AAY68363	Avian
AAY78939	Human
AAY78953	Avian
AAY85533	Avian
AAY85891	Human
AAY85892	Human
AAY85893	Human
AAY85894	Human
